"selection1_name","selection1_valoracion","selection1_votos"
"The Target","8.0","(5,433)"
"The Detail","8.3","(4,434)"
"The Buys","8.3","(4,159)"
"Old Cases","8.3","(4,019)"
"The Pager","8.4","(3,855)"
"The Wire","8.6","(4,029)"
"One Arrest","8.6","(3,769)"
"Lessons","8.6","(3,748)"
"Game Day","8.8","(3,872)"
"The Cost","9.2","(4,436)"
"The Hunt","8.9","(3,875)"
"Cleaning Up","9.1","(4,186)"
"Sentencing","9.0","(4,073)"
"Ebb Tide","7.9","(3,588)"
"Collateral Damage","8.2","(3,354)"
"Hot Shots","8.2","(3,246)"
"Hard Cases","8.2","(3,204)"
"Undertow","8.3","(3,134)"
"All Prologue","8.8","(3,548)"
"Backwash","8.4","(3,093)"
"Duck and Cover","8.5","(3,153)"
"Stray Rounds","8.6","(3,183)"
"Storm Warnings","9.0","(3,538)"
"Bad Dreams","9.2","(3,933)"
"Port in a Storm","9.0","(3,676)"
"Time After Time","8.2","(3,058)"
"All Due Respect","8.5","(3,025)"
"Dead Soldiers","8.5","(3,016)"
"Amsterdam","8.5","(3,001)"
"Straight and True","8.7","(2,997)"
"Homecoming","8.7","(2,978)"
"Back Burners","8.6","(2,925)"
"Moral Midgetry","8.9","(3,181)"
"Slapstick","8.8","(2,994)"
"Reformation","8.8","(3,007)"
"Middle Ground","9.6","(4,793)"
"Mission Accomplished","9.3","(3,744)"
"Boys of Summer","8.4","(2,959)"
"Soft Eyes","8.6","(2,810)"
"Home Rooms","8.7","(2,849)"
"Refugees","8.5","(2,747)"
"Alliances","8.6","(2,769)"
"Margin of Error","8.8","(2,863)"
"Unto Others","8.6","(2,714)"
"Corner Boys","8.6","(2,775)"
"Know Your Place","8.6","(2,706)"
"Misgivings","8.8","(2,893)"
"A New Day","9.0","(3,003)"
"That's Got His Own","9.3","(3,399)"
"Final Grades","9.5","(4,237)"
"More with Less","8.2","(2,780)"
"Unconfirmed Reports","8.3","(2,668)"
"Not for Attribution","8.6","(2,720)"
"Transitions","8.9","(2,819)"
"React Quotes","8.7","(2,697)"
"The Dickensian Aspect","8.5","(2,617)"
"Took","8.6","(2,673)"
"Clarifications","8.9","(2,943)"
"Late Editions","9.3","(3,332)"
"-30-","9.6","(4,795)"