"name_name","name_valoracion","name_votos"
"Pilot","9.3","(5,778)"
"The Big Three","8.6","(3,317)"
"Kyle","8.7","(3,101)"
"The Pool","8.9","(3,077)"
"The Game Plan","8.8","(2,960)"
"Career Days","8.6","(2,502)"
"The Best Washing Machine in the Whole World","8.6","(2,408)"
"Pilgrim Rick","9.2","(2,981)"
"The Trip","8.8","(2,595)"
"Last Christmas","9.1","(2,794)"
"The Right Thing to Do","8.5","(2,186)"
"The Big Day","9.0","(2,748)"
"Three Sentences","8.8","(2,478)"
"I Call Marriage","8.4","(2,081)"
"Jack Pearson's Son","9.0","(2,645)"
"Memphis","9.5","(4,383)"
"What Now?","9.1","(2,459)"
"Moonshadow","8.7","(2,267)"
"A Father's Advice","8.9","(2,386)"
"A Manny-Splendored Thing","8.5","(1,983)"
"Déjà Vu","8.5","(1,929)"
"Still There","8.3","(1,967)"
"Brothers","8.4","(2,142)"
"The 20's","8.5","(2,094)"
"The Most Disappointed Man","8.9","(2,012)"
"Number One","9.2","(2,767)"
"Number Two","8.8","(2,065)"
"Number Three","8.9","(2,171)"
"The Fifth Wheel","9.2","(2,382)"
"Clooney","8.5","(1,875)"
"That'll Be the Day","9.4","(2,983)"
"Super Bowl Sunday","9.8","(5,357)"
"The Car","9.2","(2,337)"
"Vegas, Baby","8.0","(1,908)"
"This Big, Amazing, Beautiful Life","7.6","(2,060)"
"The Wedding","8.7","(2,089)"
"Nine Bucks","8.7","(1,491)"
"A Philadelphia Story","8.2","(1,226)"
"Katie Girls","8.6","(1,292)"
"Vietnam","8.1","(1,424)"
"Toby","8.3","(1,151)"
"Kamsahamnida","8.5","(1,151)"
"Sometimes","8.5","(1,165)"
"Six Thanksgivings","8.3","(1,136)"
"The Beginning Is the End Is the Beginning","8.9","(1,324)"
"The Last Seven Weeks","8.5","(1,107)"
"Songbird Road: Part One","9.2","(1,428)"
"Songbird Road: Part Two","8.5","(1,083)"
"Our Little Island Girl","8.7","(1,317)"
"The Graduates","8.6","(1,029)"
"The Waiting Room","8.2","(1,179)"
"Don't Take My Sunshine Away","8.2","(995)"
"R & B","8.8","(1,155)"
"Her","9.2","(1,425)"
"Strangers","9.1","(1,856)"
"The Pool: Part Two","8.5","(1,059)"
"Unhinged","8.6","(1,035)"
"Flip a Coin","8.6","(1,000)"
"Storybook Love","9.0","(1,118)"
"The Club","8.5","(1,012)"
"The Dinner and the Date","8.8","(1,056)"
"Sorry","8.7","(980)"
"So Long, Marianne","9.3","(1,276)"
"Light and Shadows","8.9","(1,027)"
"A Hell of a Week: Part One","8.8","(1,005)"
"A Hell of a Week: Part Two","8.8","(1,038)"
"A Hell of a Week: Part Three","8.4","(955)"
"The Cabin","9.5","(1,691)"
"Clouds","8.8","(948)"
"New York, New York, New York","8.8","(954)"
"After the Fire","8.9","(1,079)"
"Strangers: Part Two","9.4","(1,414)"
"Forty: Part One","7.5","(1,457)"
"Forty: Part Two","7.6","(1,279)"
"Changes","7.6","(953)"
"Honestly","8.4","(891)"
"A Long Road Home","8.2","(837)"
"Birth Mother","9.0","(1,420)"
"There","8.6","(859)"
"In the Room","9.1","(1,066)"
"The Ride","8.3","(762)"
"I've Got This","8.2","(700)"
"One Small Step...","8.9","(911)"
"Both Things Can Be True","8.0","(641)"
"Brotherly Love","8.4","(760)"
"The Music and the Mirror","8.4","(590)"
"Jerry 2.0","8.1","(530)"
"The Adirondacks","8.9","(728)"
"Episode #6.1","",""